Arvore,RandomForest,KNN,SVM,R_Logist,Rede Neural
0.9864999999999998,0.986,0.9800000000000001,0.9835,0.9475,0.9959999999999999
0.9844999999999999,0.986,0.9800000000000001,0.984,0.9465,0.9959999999999999
0.9905000000000002,0.986,0.9799999999999999,0.9834999999999999,0.9470000000000001,0.9974999999999999
0.9879999999999999,0.9879999999999999,0.9799999999999999,0.9844999999999999,0.946,0.9949999999999999
0.9884999999999999,0.9884999999999999,0.9809999999999999,0.9855,0.9465,0.9964999999999999
0.9890000000000001,0.9864999999999998,0.9785,0.9835,0.9465,0.9964999999999999
0.9880000000000001,0.9879999999999999,0.9799999999999999,0.9839999999999998,0.9469999999999998,0.9959999999999999
0.9875,0.9880000000000001,0.9804999999999999,0.9845,0.9480000000000001,0.9960000000000001
0.9855,0.9865,0.9809999999999999,0.982,0.9465,0.9964999999999999
0.9869999999999999,0.9849999999999998,0.9809999999999999,0.9829999999999999,0.9465,0.9959999999999999
0.9860000000000001,0.986,0.978,0.9824999999999999,0.9475,0.9959999999999999
0.9894999999999999,0.9874999999999998,0.9804999999999999,0.9825000000000002,0.9479999999999998,0.9960000000000001
0.9889999999999999,0.9880000000000001,0.9809999999999999,0.9844999999999999,0.9475,0.9944999999999998
0.9864999999999998,0.9890000000000001,0.9799999999999999,0.984,0.9484999999999999,0.9969999999999999
0.9835,0.9874999999999998,0.9795,0.9834999999999999,0.9484999999999999,0.9970000000000001
0.985,0.9839999999999998,0.9795,0.9845,0.9475,0.9964999999999999
0.9855,0.9854999999999998,0.9804999999999999,0.984,0.946,0.9964999999999999
0.9904999999999999,0.9875,0.983,0.9844999999999999,0.9470000000000001,0.9970000000000001
0.9875,0.9925,0.9800000000000001,0.985,0.9465,0.9959999999999999
0.9869999999999999,0.9860000000000001,0.9804999999999999,0.9839999999999998,0.9464999999999998,0.998
0.983,0.9874999999999998,0.9799999999999999,0.9835,0.9465,0.9970000000000001
0.9865,0.986,0.9810000000000001,0.985,0.9469999999999998,0.9964999999999999
0.9884999999999999,0.9884999999999999,0.9810000000000001,0.9844999999999999,0.9455,0.9965000000000002
0.9869999999999999,0.9889999999999999,0.9800000000000001,0.9870000000000001,0.9465,0.9964999999999999
0.9880000000000001,0.9855,0.9835,0.9839999999999998,0.9475000000000001,0.9974999999999999
0.9880000000000001,0.9854999999999998,0.9814999999999999,0.982,0.9469999999999998,0.9964999999999999
0.9875,0.9855,0.9795,0.9825000000000002,0.9475,0.9964999999999999
0.986,0.986,0.9795,0.9850000000000001,0.9465,0.9970000000000001
0.986,0.9844999999999999,0.9775,0.983,0.9480000000000001,0.9970000000000001
0.9890000000000001,0.9855,0.978,0.986,0.9465,0.9974999999999999
